traditional,pronunciation,pronunciations,audio,definitions,pos
合界,gab²gie⁵⁵,四⃞gab²gie⁵⁵ 海⃞gab⁵gai¹¹ 大⃞gab²¹gai⁵³ 平⃞gab²gai⁵³ 安⃞gab²⁴goi³¹ 南⃞gab²giai⁵⁵,03466,兩地相鄰的地方。,名
合股,hab⁵gu³¹,四⃞hab⁵gu³¹ 海⃞hab²gu²⁴ 大⃞hab⁵⁴gu³¹ 平⃞hab⁵gu⁵³ 安⃞hab⁴³gu³¹ 南⃞hab⁵gu³¹,04880,很多人集合資本共同經營事業。,形
合著,gab²do³¹,四⃞gab²do³¹ 海⃞gab⁵do²⁴ 大⃞gab²¹do³¹ 平⃞gab²do⁵³ 安⃞hab⁴³choo⁵⁵ 南⃞gab²do³¹,03465,夾雜、混合。,動
合藥仔,gab²iog⁵e³¹,四⃞gab²iog⁵e³¹ 海⃞gab⁵rhog²er⁵⁵ 平⃞gab²rhiog⁵er⁵³ 南⃞gab²iog⁵e³¹,03467,照著藥方調製藥劑或買藥。,動
合身,gag²siin²⁴,四⃞gag²siin²⁴ 海⃞gag⁵shin⁵³ 大⃞gag²¹shin³³ 平⃞gag²shin¹¹ 安⃞hab⁴³shin¹¹ 南⃞gag²siin²⁴,03479,形容衣服穿起來很適當、大小很符合身材。,形
合適,hab⁵siid²,四⃞hab⁵siid² 海⃞hab²shid⁵ 大⃞hab⁵⁴shid²¹ 平⃞hab⁵shid² 安⃞hab⁴³shid²⁴ 南⃞hab⁵siid²,04882,搭配、配合得恰到好處。,動
合金,hab⁵gim²⁴,四⃞hab⁵gim²⁴ 海⃞hab²gim⁵³ 大⃞hab⁵⁴gim³³ 平⃞hab⁵gim¹¹ 安⃞hab⁴³gim¹¹ 南⃞hab⁵gim²⁴,04879,由二種或二種以上的元素，而其中至少有一種為金屬元素所組成的物質，稱之為合金。其組織狀態有溶體、共溶混合物、金屬間化合物等。具實用性，如鋼為鐵和碳的合金，黃銅為銅、鋅的合金。由兩種主要元素組成的合金為二元合金，以此類推。,名
合鬼毋相同,gab²gui³¹m¹¹xiong²⁴tung¹¹,四⃞gab²gui³¹m¹¹xiong²⁴tung¹¹ 海⃞gab⁵gui²⁴m⁵⁵siong⁵³tung⁵⁵ 大⃞gab²¹gui³¹m¹¹³siong³³tung¹¹³ 平⃞gab²gui⁵³m⁵⁵siong¹¹tung⁵⁵ 南⃞gab²gui³¹m¹¹xiong²⁴tung¹¹,03468,（貶）本意為跟鬼不相同，後用來形容個性怪異，和人難以相處。,諺
吉,gid²,四⃞gid² 海⃞gid⁵ 大⃞gid²¹ 平⃞gid² 安⃞gid²⁴ 南⃞gid²,03840,美好的、善的。|有利、祥瑞之事。|姓。,||
吉凶,gid²hiung²⁴,四⃞gid²hiung²⁴ 海⃞gid⁵hiung⁵³ 大⃞gid²¹hiung³³ 平⃞gid²hiung¹¹ 安⃞gid²⁴hiung¹¹ 南⃞gid²hiung²⁴,03842,福禍、好壞、喜喪。,名
吉日,gid²ngid²,四⃞gid²ngid² 海⃞gid⁵ngid⁵ 大⃞gid²¹ngid²¹ 平⃞gid²ngid² 安⃞gid²⁴ngid²⁴ 南⃞gid²ngid²,03841,好日子。,名
吉祥,gid²xiong¹¹,四⃞gid²xiong¹¹ 海⃞gid⁵siong⁵⁵ 大⃞gid²¹siong¹¹³ 平⃞gid²siong⁵⁵ 安⃞gid²⁴siong⁵³ 南⃞gid²xiong¹¹,03843,吉利禎祥。,名
吊,diau⁵⁵,四⃞diau⁵⁵ 海⃞diau¹¹ 大⃞diau⁵³ 安⃞deeu³¹ 南⃞diau⁵⁵,02241,懸掛。|扣留、收回。|到喪家致祭慰問，同「弔」字。|量詞。古代計算錢幣的單位，一千錢為一吊。同「弔」字。,|||
吊尾錘,diau⁵⁵mi²⁴cui¹¹,四⃞diau⁵⁵mi²⁴cui¹¹ 海⃞diau¹¹mui⁵³chui⁵⁵ 大⃞diau⁵³mui³³chui¹¹³ 南⃞diau⁵⁵mi²⁴cui¹¹,02247,老么。,名
吊晃槓仔,diau⁵⁵gong¹¹gong⁵⁵e³¹,四⃞diau⁵⁵gong¹¹gong⁵⁵e³¹ 海⃞diau¹¹gong⁵⁵gong¹¹er⁵⁵,02248,盪秋千。秋千，以兩條等長的繩索或鐵鍊，分別橫拴於板塊的兩端所製成的遊戲器材。人於其上前後擺盪以為嬉戲，即為盪秋千。,動
吊橋,diau⁵⁵kieu¹¹,四⃞diau⁵⁵kieu¹¹ 海⃞diau¹¹kiau⁵⁵ 大⃞diau⁵³kiau¹¹³ 安⃞deeu³¹kio⁵³ 南⃞diau⁵⁵kieu¹¹,02244,架在城壕上，橫跨護城河，可隨時起落的輕便橋。|以懸索支撐的橋，是指將橋面吊在鋼索上的橋梁。,名|名
吊等,diau⁵⁵den³¹,四⃞diau⁵⁵den³¹ 海⃞diau¹¹den²⁴ 南⃞diau⁵⁵den³¹,02242,吊掛著。,副
吊菜仔,diau⁵⁵coi⁵⁵e³¹,四⃞diau⁵⁵coi⁵⁵e³¹ 海⃞diau¹¹coi¹¹er⁵⁵ 南⃞diau⁵⁵coi⁵⁵e³¹,02245,茄子。植物名。茄科茄屬，一年生草本。高約六十至九十公分，葉子呈橢圓形或卵形。花朵為紫色。果實亦稱為茄子，大多呈細長條狀，皮深紫色，亦有白、綠、黃等色。可用來炒食或煮食。,
吊菜色,diau⁵⁵coi⁵⁵sed²,四⃞diau⁵⁵coi⁵⁵sed² 海⃞diau¹¹coi¹¹sed⁵ 大⃞diau⁵³coi⁵³sed²¹ 南⃞diau⁵⁵coi⁵⁵sed²,02246,吊菜，茄子。茄子是紫色，故吊菜色就是指紫色。,名
吊頸,diau⁵⁵giang³¹,四⃞diau⁵⁵giang³¹ 海⃞diau¹¹giang²⁴ 大⃞diau⁵³giang³¹ 安⃞deeu³¹giang³¹ 南⃞diau⁵⁵giang³¹,02243,自縊、上吊。將繩子吊掛在高處，用以套住脖子自殺。,動
同,tung¹¹,四⃞tung¹¹ 海⃞tung⁵⁵ 大⃞tung¹¹³ 平⃞tung⁵⁵ 安⃞tung⁵³ 南⃞tung¹¹,13304,一樣的。與「異」相對。|一齊、一起。|贊成。|和諧、和平。|連詞。相當於和、與、跟。|契約。,|||||
同事,tung¹¹sii⁵⁵,四⃞tung¹¹sii⁵⁵ 海⃞tung⁵⁵sii³³ 大⃞tung¹¹³sii⁵³ 平⃞tung⁵⁵sii²⁴ 安⃞tung⁵³su⁵⁵ 南⃞tung¹¹sii⁵⁵,13315,在同一單位工作的人。,名
同人,tung¹¹ngin¹¹,四⃞tung¹¹ngin¹¹ 海⃞tung⁵⁵ngin⁵⁵ 大⃞tung¹¹³ngin¹¹³ 平⃞tung⁵⁵ngin⁵⁵ 南⃞tung¹¹ngin¹¹,13312,替人。,"介,形"
同人托核卵,tung¹¹ngin¹¹tog²hag⁵lon³¹,四⃞tung¹¹ngin¹¹tog²hag⁵lon³¹ 海⃞tung⁵⁵ngin⁵⁵tog⁵hag²lon²⁴ 大⃞tung¹¹³ngin¹¹³tog²¹hag⁵⁴lon³¹ 平⃞tung⁵⁵ngin⁵⁵tog²hag⁵lon⁵³ 南⃞tung¹¹ngin¹¹tog²hag⁵lon³¹,13321,（粗俗語）本指托住別人的睪丸，喻諷刺拍馬屁，奉承別人。,諺
同佢講,tung¹¹gi¹¹gong³¹,四⃞tung¹¹gi¹¹gong³¹ 海⃞tung⁵⁵gi⁵⁵gong²⁴ 大⃞tung¹¹³gi¹¹³gong³¹ 平⃞tung⁵⁵gi⁵⁵gong⁵³ 南⃞tung¹¹i¹¹gong³¹,13318,告訴他。,動
同契哥,tung¹¹kie⁵⁵go²⁴,四⃞tung¹¹kie⁵⁵go²⁴ 海⃞tung⁵⁵kie¹¹go⁵³ 大⃞tung¹¹³kie⁵³go³³ 平⃞tung⁵⁵kie⁵³go¹¹ 南⃞tung¹¹kie⁵⁵go²⁴,13319,形容已婚女子外遇。,形
同學,tung¹¹hog⁵,四⃞tung¹¹hog⁵ 海⃞tung⁵⁵hog² 大⃞tung¹¹³hog⁵⁴ 平⃞tung⁵⁵hog⁵ 安⃞tung⁵³hoo⁵⁵ 南⃞tung¹¹hog⁵,13308,同師受業的人。,名
同年,tung¹¹ngien¹¹,四⃞tung¹¹ngien¹¹ 海⃞tung⁵⁵ngien⁵⁵ 大⃞tung¹¹³ngien¹¹³ 平⃞tung⁵⁵ngien⁵⁵ 安⃞tung⁵³neen⁵³ 南⃞tung¹¹ngian¹¹,13311,指年齡一樣大的人，尤其指關係密切者。|同年齡。,"名,形|名,形"
同心,tung¹¹xim²⁴,四⃞tung¹¹xim²⁴ 海⃞tung⁵⁵sim⁵³ 大⃞tung¹¹³sim³³ 平⃞tung⁵⁵sim¹¹ 安⃞tung⁵³sim¹¹ 南⃞tung¹¹xim²⁴,13316,齊心。,形
同心協力,tung¹¹xim²⁴hiab⁵lid⁵,四⃞tung¹¹xim²⁴hiab⁵lid⁵ 海⃞tung⁵⁵sim⁵³hiab²lid² 大⃞tung¹¹³sim³³hiab⁵⁴lid⁵⁴ 平⃞tung⁵⁵sim¹¹hiab⁵lid⁵ 安⃞tung⁵³sim¹¹hiab⁴³lid⁴³ 南⃞tung¹¹xim²⁴hiab⁵lid⁵,13320,團結一致，共同努力。,形
同情,tung¹¹qin¹¹,四⃞tung¹¹qin¹¹ 海⃞tung⁵⁵cin⁵⁵ 大⃞tung¹¹³cin¹¹³ 平⃞tung⁵⁵cin⁵⁵ 安⃞tung⁵³cin⁵³ 南⃞tung¹¹qin¹¹,13313,心理學上指主觀的體會他人內心的感情，能體會到他人的感受，進而產生悲憫他人的心情。,動
同房,tung¹¹fong¹¹,四⃞tung¹¹fong¹¹ 海⃞tung⁵⁵fong⁵⁵ 大⃞tung¹¹³fong¹¹³ 平⃞tung⁵⁵fong⁵⁵ 南⃞tung¹¹fong¹¹,13306,男女住在同一房間，有親密關係，稱為「同房」,"名,動"
同時,tung¹¹sii¹¹,四⃞tung¹¹sii¹¹ 海⃞tung⁵⁵shi⁵⁵ 大⃞tung¹¹³shi¹¹³ 平⃞tung⁵⁵shi⁵⁵ 安⃞tung⁵³shi⁵³ 南⃞tung¹¹sii¹¹,13314,同一時間。|並且。,"副,連|副,連"
同業,tung¹¹ngiab⁵,四⃞tung¹¹ngiab⁵ 海⃞tung⁵⁵ngiab² 大⃞tung¹¹³ngiab⁵⁴ 平⃞tung⁵⁵ngiab⁵ 安⃞tung⁵³ngiab⁴³ 南⃞tung¹¹ngiab⁵,13310,從事相同行業的人或團體。,名
同胞,tung¹¹bau²⁴,四⃞tung¹¹bau²⁴ 海⃞tung⁵⁵bau⁵³ 大⃞tung¹¹³bau³³ 平⃞tung⁵⁵bau¹¹ 安⃞tung⁵³bau¹¹ 南⃞tung¹¹bau²⁴,13305,同國或同民族的人。,名
同著人,tung¹¹do³¹ngin¹¹,四⃞tung¹¹do³¹ngin¹¹ 海⃞tung⁵⁵do²⁴ngin⁵⁵ 大⃞tung¹¹³do³¹ngin¹¹³ 平⃞tung⁵⁵do⁵³ngin⁵⁵ 南⃞tung¹¹do³¹ngin¹¹,13317,已有配偶而又另與他人發生不正當的男女關係。,動
同謀,tung¹¹meu¹¹,四⃞tung¹¹meu¹¹ 海⃞tung⁵⁵meu⁵⁵ 大⃞tung¹¹³meu¹¹³ 平⃞tung⁵⁵meu⁵⁵ 安⃞tung⁵³mio⁵³ 南⃞tung¹¹meu¹¹,13309,共同參與計謀的人。,名
同鄉,tung¹¹hiong²⁴,四⃞tung¹¹hiong²⁴ 海⃞tung⁵⁵hiong⁵³ 大⃞tung¹¹³hiong³³ 平⃞tung⁵⁵hiong¹¹ 安⃞tung⁵³hiong¹¹ 南⃞tung¹¹hiong²⁴,13307,同一鄉里或同籍貫的人。,名
名,miang¹¹,四⃞miang¹¹ 海⃞miang⁵⁵ 大⃞miang¹¹³ 平⃞miang⁵⁵ 安⃞miang⁵³ 南⃞miang¹¹,08499,人或事物的稱號。|聲譽。|次第。|量詞。（1） 計算人的單位。（2） 計算排名的單位。,|||
名人,miang¹¹ngin¹¹,四⃞miang¹¹ngin¹¹ 海⃞miang⁵⁵ngin⁵⁵ 大⃞miang¹¹³ngin¹¹³ 平⃞miang⁵⁵ngin⁵⁵ 安⃞miang⁵³ngin⁵³ 南⃞miang¹¹ngin¹¹,08508,具有盛名的人。,名
名仔,miang¹¹e³¹,四⃞miang¹¹e³¹ 海⃞miang⁵⁵er⁵⁵ 平⃞miang⁵⁵er⁵³ 南⃞miang¹¹e³¹,08502,稱呼一個人或事物的名稱。,名
名利,miang¹¹li⁵⁵,四⃞miang¹¹li⁵⁵ 海⃞miang⁵⁵li³³ 大⃞miang¹¹³li⁵³ 平⃞miang⁵⁵li²⁴ 安⃞miang⁵³li⁵⁵ 南⃞miang¹¹li⁵⁵,08505,名譽和財利。,名
名單,miang¹¹dan²⁴,四⃞miang¹¹dan²⁴ 海⃞miang⁵⁵dan⁵³ 大⃞miang¹¹³dan³³ 平⃞miang⁵⁵dan¹¹ 安⃞miang⁵³dan¹¹ 南⃞miang¹¹dan²⁴,08501,記載人名的單子。,名
名姓,miang¹¹xiang⁵⁵,四⃞miang¹¹xiang⁵⁵ 海⃞miang⁵⁵siang¹¹ 大⃞miang¹¹³siang⁵³ 平⃞miang⁵⁵siang⁵³ 安⃞miang⁵³siang³¹ 南⃞miang¹¹xiang⁵⁵,08512,人的姓氏與名字。,名
名次,miang¹¹cii⁵⁵,四⃞miang¹¹cii⁵⁵ 海⃞miang⁵⁵cii¹¹ 大⃞miang¹¹³cii⁵³ 平⃞miang⁵⁵cii⁵³ 安⃞miang⁵³cu³¹ 南⃞miang¹¹cii⁵⁵,08500,依照一定標準所排列的名稱順序。,名
名片,miang¹¹pien³¹,四⃞miang¹¹pien³¹ 海⃞miang⁵⁵pien²⁴ 大⃞miang¹¹³pien³¹ 平⃞miang⁵⁵pien⁵³ 安⃞miang⁵³peen³¹ 南⃞miang¹¹pien³¹,08509,印有個人姓名、地址、電話、職位等的紙片，用來自我介紹或與人聯絡。,名
名產,miang¹¹san³¹,四⃞miang¹¹san³¹ 海⃞miang⁵⁵san²⁴ 大⃞miang¹¹³san³¹ 平⃞miang⁵⁵san⁵³ 安⃞miang⁵³san³¹ 南⃞miang¹¹san³¹,08510,著名的特產。,名
名聲,miang¹¹sang²⁴,四⃞miang¹¹sang²⁴ 海⃞miang⁵⁵shang⁵³ 大⃞miang¹¹³shang³³ 平⃞miang⁵⁵shang¹¹ 安⃞miang⁵³shang¹¹ 南⃞miang¹¹sang²⁴,08511,名氣、聲譽。,名
名號,miang¹¹ho⁵⁵,四⃞miang¹¹ho⁵⁵ 海⃞miang⁵⁵ho³³ 大⃞miang¹¹³ho⁵³ 平⃞miang⁵⁵ho²⁴ 安⃞miang⁵³hoo⁵⁵ 南⃞miang¹¹ho⁵⁵,08503,名字、稱謂。|名聲。,名|名
名言,miang¹¹ngien¹¹,四⃞miang¹¹ngien¹¹ 海⃞miang⁵⁵ngien⁵⁵ 大⃞miang¹¹³ngien¹¹³ 平⃞miang⁵⁵ngien⁵⁵ 安⃞miang⁵³ngien⁵³ 南⃞miang¹¹ngian¹¹,08507,有價值、著名的言論。,名
名譽,miang¹¹i⁵⁵,四⃞miang¹¹i⁵⁵ 海⃞miang⁵⁵rhi¹¹ 大⃞miang¹¹³rhi⁵³ 平⃞miang⁵⁵rhi⁵³ 安⃞miang⁵³rhi³¹ 南⃞miang¹¹i⁵⁵,08504,名聲。|名義上，多含尊重禮遇的意思。,名|名
名額,miang¹¹ngiag²,四⃞miang¹¹ngiag² 海⃞miang⁵⁵ngiag⁵ 大⃞miang¹¹³ngiag²¹ 平⃞miang⁵⁵ngiag² 安⃞miang⁵³ngia²⁴ 南⃞miang¹¹ngiag²,08506,限定的人數。,名
后,heu⁵⁵,四⃞heu⁵⁵ 海⃞heu³³ 大⃞heu⁵³ 平⃞heu²⁴ 安⃞heu⁵⁵ 南⃞heu⁵⁵,05122,古代對君王的稱呼。|君王的正室配偶。|姓。,||
后土,heu⁵⁵tu³¹,四⃞heu⁵⁵tu³¹ 海⃞heu³³tu²⁴ 大⃞heu⁵³tu³¹ 平⃞heu²⁴tu⁵³ 安⃞heu⁵⁵tu³¹ 南⃞heu⁵⁵tu³¹,05123,意指墳墓旁邊的土地公。,名
吏,li⁵⁵,四⃞li⁵⁵ 海⃞li³³ 大⃞li⁵³ 平⃞li²⁴ 安⃞li⁵⁵ 南⃞li⁵⁵,07485,在政府機關中處理公務的人員。,
向,hiong⁵⁵,四⃞hiong⁵⁵ 海⃞hiong¹¹ 大⃞hiong⁵³ 平⃞hiong⁵³ 安⃞hiong³¹ 南⃞hiong⁵⁵,05398,方位。|對著、朝著。|意志之歸趨。|偏愛、偏袒。|過去到現在。|姓。,|||||
向來,hiong⁵⁵loi¹¹,四⃞hiong⁵⁵loi¹¹ 海⃞hiong¹¹loi⁵⁵ 大⃞hiong⁵³loi¹¹³ 平⃞hiong⁵³loi⁵⁵ 南⃞hiong⁵⁵loi¹¹,05400,從來、素來。,副
向前,hiong⁵⁵qien¹¹,四⃞hiong⁵⁵qien¹¹ 海⃞hiong¹¹cien⁵⁵ 大⃞hiong⁵³cien¹¹³ 平⃞hiong⁵³cien⁵⁵ 安⃞hiong³¹cien⁵³ 南⃞hiong⁵⁵qien¹¹,05401,往前。|奮發上進。,副|副
向日葵,hiong⁵⁵ngid²kui¹¹,四⃞hiong⁵⁵ngid²kui¹¹ 海⃞hiong¹¹ngid⁵kui⁵⁵ 大⃞hiong⁵³ngid²¹kui¹¹³ 平⃞hiong⁵³ngid²kui²⁴ 南⃞hiong⁵⁵ngid²kui¹¹,05402,植物名。菊科向日葵屬，一年生草本植物。葉卵形，夏日開黃色大花，花常朝向太陽，子可食，並可榨油。亦稱為「葵花」、「朝陽花」。,
向東,hiong⁵⁵dung²⁴,四⃞hiong⁵⁵dung²⁴ 海⃞hiong¹¹dung⁵³ 大⃞hiong⁵³dung³³ 平⃞hiong⁵³dung¹¹ 安⃞hiong³¹dung¹¹ 南⃞hiong⁵⁵dung²⁴,05399,對著東方。,副
吓,ha²⁴,四⃞ha²⁴ 海⃞ha⁵³ 大⃞ha³⁵ 平⃞ha¹¹ 安⃞hann²⁴ 南⃞ha²⁴,04836,疑問詞，為「你說什麼？我沒有聽清楚！」之意。通常用於別人說話聽不清楚，請對方再說一遍的語氣用詞。,
吓,ha³¹,四⃞ha³¹ 海⃞ha²⁴ 大⃞ha³⁵ 平⃞ha⁵³ 安⃞ha³¹ 南⃞ha³¹,15471,多用於祈使句，用以加強語氣。,
君,giun²⁴,四⃞giun²⁴ 海⃞giun⁵³ 大⃞giun³³ 平⃞giun¹¹ 安⃞gun¹¹ 南⃞giun²⁴,04247,帝制時代的一國之主。|對人的尊稱。|妻對夫的敬稱。|正派、正直。|神明的尊稱。|姓。,|||||
君主,giun²⁴zu³¹,四⃞giun²⁴zu³¹ 海⃞giun⁵³zhu²⁴ 大⃞giun³³zhu³¹ 平⃞giun¹¹zhu⁵³ 安⃞gun¹¹zhi³¹ 南⃞giun²⁴zu³¹,04251,帝制時代由世襲制產生的國家元首。,名
君子,giun²⁴zii³¹,四⃞giun²⁴zii³¹ 海⃞giun⁵³zii²⁴ 大⃞giun³³zii³¹ 平⃞giun¹¹zii⁵³ 安⃞gun¹¹zu³¹ 南⃞giun²⁴zii³¹,04250,才德出眾的人。,名
君王,giun²⁴vong¹¹,四⃞giun²⁴vong¹¹ 海⃞giun⁵³vong⁵⁵ 大⃞giun³³vong¹¹³ 平⃞giun¹¹vong⁵⁵ 安⃞gun¹¹ong⁵³ 南⃞giun²⁴vong¹¹,04249,帝制時代世襲體制的國家裡對統治者的尊稱。,名
君臣,giun²⁴siin¹¹,四⃞giun²⁴siin¹¹ 海⃞giun⁵³shin⁵⁵ 大⃞giun³³shin¹¹³ 平⃞giun¹¹shin⁵⁵ 安⃞gun¹¹shin⁵³ 南⃞giun²⁴siin¹¹,04248,指君王和臣子。,名
吞,tun²⁴,四⃞tun²⁴ 海⃞tun⁵³ 大⃞tun³³ 平⃞tun¹¹ 安⃞tun¹¹ 南⃞tun²⁴,13265,食物等東西不經過咀嚼，而直接嚥下。|壓抑隱藏、隱忍不發。,|
吞落,tun²⁴log⁵,四⃞tun²⁴log⁵ 海⃞tun⁵³log² 大⃞tun³³log⁵⁴ 平⃞tun¹¹log⁵ 安⃞tun¹¹loo⁵⁵ 南⃞tun²⁴log⁵,13266,吞下去。,動
吞落肚,tun²⁴log⁵du³¹,四⃞tun²⁴log⁵du³¹ 海⃞tun⁵³log²du²⁴ 大⃞tun³³log⁵⁴du³¹ 平⃞tun¹¹log⁵du⁵³ 安⃞tun¹¹loo⁵⁵du³¹ 南⃞tun²⁴log⁵du³¹,13267,吞進或吃進肚子。,動
吟,ngim¹¹,四⃞ngim¹¹ 海⃞ngim⁵⁵ 大⃞ngim¹¹³ 平⃞ngim⁵⁵ 安⃞ngim⁵³ 南⃞ngim¹¹,09538,詠、誦。|啼叫、鳴叫。|古代一種詩體的名稱。如孟郊的《遊子吟》等。,||
吟詩,ngim¹¹sii²⁴,四⃞ngim¹¹sii²⁴ 海⃞ngim⁵⁵shi⁵³ 大⃞ngim¹¹³shi³³ 平⃞ngim⁵⁵shi¹¹ 安⃞ngim⁵³shi¹¹ 南⃞ngim¹¹sii²⁴,09539,吟詠詩文、賦詩。,動
吟詩作對,ngim¹¹sii²⁴zog²dui⁵⁵,四⃞ngim¹¹sii²⁴zog²dui⁵⁵ 海⃞ngim⁵⁵shi⁵³zog⁵dui¹¹ 大⃞ngim¹¹³shi³³zog²¹dui⁵³ 平⃞ngim⁵⁵shi¹¹zog²dui⁵³ 安⃞ngim⁵³shi¹¹zoo²⁴doi³¹ 南⃞ngim¹¹sii²⁴zog²dui⁵⁵,09540,吟詠詩文、寫作對聯。,動
吠,poi⁵⁵,四⃞poi⁵⁵ 海⃞poi³³ 大⃞poi⁵³ 平⃞poi²⁴ 安⃞pui⁵⁵ 南⃞poi⁵⁵,10375,狗的叫聲。,
否,feu³¹,四⃞feu³¹ 海⃞feu²⁴ 大⃞feu³¹ 平⃞feu⁵³ 安⃞feu³¹ 南⃞feu³¹,02867,不同意。,
否,pi³¹,四⃞pi³¹ 海⃞pi²⁴ 大⃞pi³¹ 平⃞pi⁵³ 安⃞pi³¹ 南⃞pi³¹,10173,易經卦名。六十四卦之一。坤下乾上，象天地不交，萬物不通之義。|壞、惡。|貶斥、斥責。,||
否決,feu³¹gied²,四⃞feu³¹gied² 海⃞feu²⁴gied⁵ 大⃞feu³¹gied²¹ 平⃞feu⁵³gied² 安⃞feu³¹guad²⁴ 南⃞feu³¹giad²,02868,對事情做出不同意的決定。,動
否認,feu³¹ngin⁵⁵,四⃞feu³¹ngin⁵⁵ 海⃞feu²⁴ngin³³ 大⃞feu³¹ngin⁵³ 平⃞feu⁵³ngin²⁴ 安⃞feu³¹ngin⁵⁵ 南⃞feu³¹ngin⁵⁵,02869,不承認。,動
吩,fun²⁴,四⃞fun²⁴ 海⃞fon⁵³ 大⃞fun³³ 平⃞fun¹¹ 安⃞fan¹¹ 南⃞fun²⁴,03264,見「吩咐」。,
吩,fun²⁴,四⃞fun²⁴ 海⃞fun⁵³ 大⃞fun³³ 平⃞fun¹¹ 安⃞fan¹¹ 南⃞fun²⁴,03265,見「吩咐」。,
吩咐,fun²⁴fu⁵⁵,四⃞fun²⁴fu⁵⁵ 海⃞fun⁵³fu¹¹ 大⃞fun³³fu⁵³ 平⃞fun¹¹fu⁵³ 安⃞fan¹¹fu³¹ 南⃞fun²⁴fu⁵⁵,03266,叮嚀囑咐。多指長輩囑告晚輩，或上對下的交代，含有命令、派遣的語氣。,"動,名"
含,ham¹¹,四⃞ham¹¹ 海⃞ham⁵⁵白 大⃞ham¹¹³ 平⃞ham⁵⁵ 安⃞ham⁵³ 南⃞ham¹¹,04931,東西放在嘴巴裡，不吐出來也不吞進去。|藏在裡頭。|包括、容納。|內心懷著。,|||
含,hem¹¹,四⃞hem¹¹ 海⃞hem⁵⁵文 大⃞hem¹¹³ 平⃞hem⁵⁵ 安⃞ham⁵³ 南⃞hem¹¹,05089,東西放在嘴巴裡，不吐出來也不吞進去。|藏在裡頭。|內心懷著。,||
含笑,ham¹¹seu⁵⁵,四⃞ham¹¹seu⁵⁵ 海⃞ham⁵⁵siau¹¹白 大⃞ham¹¹³siau⁵³ 平⃞ham⁵⁵siau⁵³ 安⃞ham⁵³sio³¹ 南⃞ham¹¹seu⁵⁵,04934,植物名。木蘭科含笑花屬，常綠灌木或小喬木。原產於廣東。葉互生，柄有細密毛茸。花瓣黃白色，呈長橢圓狀，有香味。除供觀賞外，亦可提煉香油。|面帶微笑。|形容花朵初放的樣子。,"動,形|動,形|動,形"
含笑歸土,ham¹¹seu⁵⁵gui²⁴tu³¹,四⃞ham¹¹seu⁵⁵gui²⁴tu³¹ 海⃞ham⁵⁵siau¹¹gui⁵³tu²⁴白 大⃞ham¹¹³siau⁵³gui³³tu³¹ 平⃞ham⁵⁵siau⁵³gui¹¹tu⁵³ 安⃞ham⁵³sio³¹gui¹¹tu³¹ 南⃞ham¹¹seu⁵⁵gui²⁴tu³¹,04935,比喻欣慰而沒有任何遺憾的死去。,動
含等,ham¹¹den³¹,四⃞ham¹¹den³¹ 海⃞ham⁵⁵den²⁴白 平⃞ham⁵⁵den⁵³ 南⃞hem¹¹den³¹,04932,放在嘴巴裡含著。,動
含糊,ham¹¹fu¹¹,四⃞ham¹¹fu¹¹ 海⃞ham⁵⁵fu⁵⁵白 大⃞ham¹¹³fu¹¹³ 平⃞ham⁵⁵fu⁵⁵ 安⃞ham⁵³fu⁵³ 南⃞ham¹¹fu¹¹,04933,語意含混、不清楚。|形容做事草率、馬虎。,形|形
吮,qion²⁴,四⃞qion²⁴ 海⃞cion⁵³ 大⃞cion³³ 平⃞cion¹¹ 南⃞qion²⁴,10841,人以口吸吮。,
吮,qion³¹,四⃞qion³¹ 海⃞cion²⁴ 大⃞chon³¹ 平⃞cion⁵³ 南⃞qion³¹,10860,尖嘴的家禽用嘴去啄。,
吮乳,qion²⁴nen⁵⁵,四⃞qion²⁴nen⁵⁵ 海⃞cion⁵³nen¹¹ 大⃞cion³³nen⁵³ 平⃞cion¹¹nen⁵³ 南⃞qion²⁴nen⁵⁵,10842,吸食母奶或牛奶。,動
吱,zii²⁴,四⃞zii²⁴ 海⃞zhi⁵³ 大⃞zii³³ 平⃞zhi¹¹ 安⃞ki¹¹ 南⃞zii²⁴,14453,狀聲詞。形容小動物或細碎尖銳、吵鬧的聲音。,
吳,ng¹¹,四⃞ng¹¹ 海⃞ng⁵⁵ 大⃞ng¹¹³ 平⃞ng⁵⁵ 安⃞m⁵³ 南⃞ng¹¹,09116,古國名。周代諸侯國。泰伯封於吳地，故址在今江蘇省無錫縣。傳到夫差，為越王句踐所滅。|朝代名：（1）（西元²²²年～西元²80年）三國之一。三國時期孫權所建。故址據有江、浙、湘、鄂、閩、粵、安南等地。後為晉朝所滅。（2）（西元90²年～西元9³7年。）十國之一。五代時期楊行密所建。故址據有淮南、江西等地。後為南唐徐知誥所篡。|地名。即蘇州。又江蘇省春秋時為吳國地，故亦稱之。|姓。,|||
吵,cau¹¹,四⃞cau¹¹ 海⃞cau⁵⁵ 大⃞cau¹¹³ 平⃞cau⁵⁵ 安⃞cau³¹ 南⃞cau¹¹,01010,攪擾。|爭鬧。|聲音雜亂。,||
